size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
384,0,7,0,320109,5001,32
384,0,7,0,320702,5010,32
384,0,7,0,318445,4975,31
384,0,7,0,321025,5016,32
384,0,7,0,320886,5013,32
384,0,7,0,319680,4995,31
384,0,7,0,320178,5002,32
384,0,7,0,320582,5009,32
384,0,7,0,319517,4992,31
384,0,7,0,319990,4999,31
384,0,7,0,319147,4986,31
384,0,7,0,319634,4994,31
384,0,7,0,319253,4988,31
384,0,7,0,319421,4990,31
384,0,7,0,319217,4987,31
384,0,7,0,319837,4997,31
384,0,7,0,320511,5007,32
384,0,7,0,319293,4988,31
384,0,7,0,320348,5005,32
384,0,7,0,319883,4998,31
384,0,7,0,320266,5004,32
384,0,7,0,320607,5009,32
384,0,7,0,318187,4971,31
384,0,7,0,319882,4998,31
384,0,7,0,319671,4994,31
384,0,7,0,319526,4992,31
384,0,7,0,320135,5002,32
384,0,7,0,319852,4997,31
384,0,7,0,320915,5014,32
384,0,7,0,319369,4990,31
384,0,7,0,318999,4984,31
384,0,7,0,320221,5003,32
384,0,7,0,320828,5012,32
384,0,7,0,319942,4999,31
384,0,7,0,320009,5000,32
384,0,7,0,319774,4996,31
384,0,7,0,321125,5017,32
384,0,7,0,320773,5012,32
384,0,7,0,320015,5000,32
384,0,7,0,319695,4995,31
384,0,7,0,320378,5005,32
384,0,7,0,319764,4996,31
384,0,7,0,320029,5000,32
384,0,7,0,320998,5015,32
384,0,7,0,319848,4997,31
384,0,7,0,318656,4979,31
384,0,7,0,319879,4998,31
384,0,7,0,318885,4982,31
384,0,7,0,320480,5007,32
384,0,7,0,319926,4998,31
384,0,7,0,320141,5002,32
384,0,7,0,320828,5012,32
384,0,7,0,319608,4993,31
384,0,7,0,320111,5001,32
384,0,7,0,319126,4986,31
384,0,7,0,320646,5010,32
384,0,7,0,319777,4996,31
384,0,7,0,319553,4993,31
384,0,7,0,320535,5008,32
384,0,7,0,319676,4994,31
384,0,7,0,320283,5004,32
384,0,7,0,320001,5000,32
384,0,7,0,318837,4981,31
384,0,7,0,318980,4984,31
384,0,7,0,320341,5005,32
384,0,7,0,321138,5017,32
384,0,7,0,320025,5000,32
384,0,7,0,320473,5007,32
384,0,7,0,319167,4986,31
384,0,7,0,320126,5001,32
384,0,7,0,320223,5003,32
384,0,7,0,321077,5016,32
384,0,7,0,320774,5012,32
384,0,7,0,320416,5006,32
384,0,7,0,320797,5012,32
384,0,7,0,320190,5002,32
384,0,7,0,320378,5005,32
384,0,7,0,320370,5005,32
384,0,7,0,319178,4987,31
384,0,7,0,319637,4994,31
384,0,7,0,319166,4986,31
384,0,7,0,319468,4991,31
384,0,7,0,318884,4982,31
384,0,7,0,320300,5004,32
384,0,7,0,319679,4994,31
384,0,7,0,319045,4985,31
384,0,7,0,319488,4992,31
384,0,7,0,319857,4997,31
384,0,7,0,319953,4999,31
384,0,7,0,320594,5009,32
384,0,7,0,320028,5000,32
384,0,7,0,320069,5001,32
384,0,7,0,320583,5009,32
384,0,7,0,319882,4998,31
384,0,7,0,320501,5007,32
384,0,7,0,319645,4994,31
384,0,7,0,319915,4998,31
384,0,7,0,320233,5003,32
384,0,7,0,320710,5011,32
384,0,7,0,319754,4996,31
